molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL372889,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,active,299.286,1.11984,1.0,5.0,7.6020599913279625
CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,inactive,421.19000000000005,2.6605000000000008,0.0,4.0,4.8696662315049934
CHEMBL188484,O=C1C(=O)N(Cc2cc3ccccc3o2)c2ccc(I)cc21,active,403.175,3.7669000000000015,0.0,3.0,7.886056647693163
CHEMBL362781,COc1ccc2c(c1)C(=O)C(=O)N2Cc1cc2ccccc2o1,active,307.305,3.1709000000000023,0.0,4.0,7.886056647693163
CHEMBL191322,O=C1C(=O)N(Cc2cc3ccccc3o2)c2ccc([N+](=O)[O-])cc21,active,322.27600000000007,3.070500000000001,0.0,5.0,7.619788758288394
CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,inactive,293.34700000000004,3.6308000000000016,0.0,3.0,4.8823973083099155
CHEMBL363243,Nc1cccc2c1N(Cc1cc3ccccc3s1)C(=O)C2=O,active,308.36200000000014,3.213000000000002,1.0,4.0,7.508638306165727
CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,active,372.24300000000005,4.393300000000003,0.0,3.0,6.008773924307505
CHEMBL365677,Cc1cc2c(c([N+](=O)[O-])c1)N(Cc1cc3ccccc3s1)C(=O)C2=O,active,352.37100000000015,3.8474200000000014,0.0,5.0,7.4089353929735005
CHEMBL188811,COc1ccc2c(c1)C(=O)C(=O)N2Cc1cc2ccccc2s1,active,323.373,3.639400000000003,0.0,4.0,7.568636235841013
CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,active,419.24300000000005,4.235400000000002,0.0,3.0,6.022276394711152
CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,inactive,327.7920000000001,4.284200000000002,0.0,3.0,4.950781977329818
CHEMBL362493,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Cl)ccc(Cl)c21,active,362.23700000000014,4.937600000000002,0.0,3.0,7.337242168318426
CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,inactive,445.28100000000006,4.748600000000002,0.0,3.0,4.628932137728263
CHEMBL365242,Nc1ccc2c(c1)C(=O)C(=O)N2CC(=O)c1cc2ccccc2s1,active,336.372,2.8957000000000015,1.0,5.0,7.3979400086720375
CHEMBL190155,Cc1cc2c(c([N+](=O)[O-])c1)N(CC(=O)c1cc3ccccc3s1)C(=O)C2=O,active,380.38100000000014,3.530120000000002,0.0,6.0,7.3979400086720375
CHEMBL191575,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,inactive,522.7510000000001,4.987900000000002,1.0,4.0,4.900664722314042
CHEMBL364253,O=C(Nc1ccc(F)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,active,506.2960000000001,4.473600000000002,1.0,4.0,7.337242168318426
CHEMBL370098,O=C(Nc1ccc(F)cc1F)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,active,524.2860000000001,4.612700000000002,1.0,4.0,7.494850021680094
CHEMBL188961,O=C(NC1CCCCC1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,active,494.3540000000001,4.144700000000004,1.0,4.0,7.443697499232712
CHEMBL187600,CC(C)NC(=O)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,active,454.289,3.2204000000000015,1.0,4.0,7.327902142064283
CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,inactive,480.327,3.708300000000003,0.0,4.0,4.756961951313706
CHEMBL198359,CC(C)C[C@H](NC(=O)[C@@H](O)C(S)C(=O)O)C(=O)NCCCCN=C(N)N,active,391.49400000000026,-1.5689999999999973,7.0,6.0,11.657577319177793
CHEMBL198359,CC(C)C[C@H](NC(=O)[C@@H](O)C(S)C(=O)O)C(=O)NCCCCN=C(N)N,active,391.49400000000026,-1.5689999999999973,7.0,6.0,8.279840696594043
