activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1480934,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL372889,,CHEMBL372889,,False,http://qudt.org/vocab/unit#Percent,384102,=,1,True,=,,Inhibition,%,,25.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,25.0
,1480935,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '18.28', 'le': '0.33', 'lle': '3.25', 'sei': '5.90'}",CHEMBL187579,,CHEMBL187579,5.14,False,http://www.openphacts.org/units/Nanomolar,384103,=,1,True,=,,IC50,nM,,7200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,7.2
,1480936,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '12.10', 'le': '0.33', 'lle': '1.22', 'sei': '13.45'}",CHEMBL188487,,CHEMBL188487,5.03,False,http://www.openphacts.org/units/Nanomolar,383984,=,1,True,=,,IC50,nM,,9400.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,9.4
,1481061,[],CHEMBL830868,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '11.56', 'le': '0.29', 'lle': '2.21', 'sei': '8.72'}",CHEMBL185698,,CHEMBL185698,4.87,False,http://www.openphacts.org/units/Nanomolar,384106,=,1,True,=,,IC50,nM,,13500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,13.5
,1481062,[],CHEMBL832053,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000201,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3o2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL188484,,CHEMBL188484,,False,http://qudt.org/vocab/unit#Percent,383987,=,1,True,=,,Inhibition,%,,13.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,13.0
,1481063,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc2c(c1)C(=O)C(=O)N2Cc1cc2ccccc2o1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL362781,,CHEMBL362781,,False,http://qudt.org/vocab/unit#Percent,383988,=,1,True,=,,Inhibition,%,,13.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,13.0
,1481064,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3o2)c2ccc([N+](=O)[O-])cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL191322,,CHEMBL191322,,False,http://qudt.org/vocab/unit#Percent,384074,=,1,True,=,,Inhibition,%,,24.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,24.0
,1481065,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '16.64', 'le': '0.32', 'lle': '1.25', 'sei': '13.06'}",CHEMBL426082,,CHEMBL426082,4.88,False,http://www.openphacts.org/units/Nanomolar,384075,=,1,True,=,,IC50,nM,,13110.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,13.11
,1481066,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '16.84', 'le': '0.32', 'lle': '2.16', 'sei': '7.08'}",CHEMBL187717,,CHEMBL187717,5.70,False,http://www.openphacts.org/units/Nanomolar,384234,=,1,True,=,,IC50,nM,,2000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,2.0
,1481067,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Nc1cccc2c1N(Cc1cc3ccccc3s1)C(=O)C2=O,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL363243,,CHEMBL363243,,False,http://qudt.org/vocab/unit#Percent,384178,=,1,True,=,,Inhibition,%,,31.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,31.0
